CustomerID,Age,TenureMonths,MonthlyCharge,SupportCalls,ContractType,HasInternetService,SatisfactionScore,Churn
CUST1000,56,15,55.16,1,One Year,0,8.5,0
CUST1001,69,64,30.14,2,Month-to-Month,1,2.8,1
CUST1002,46,28,68.59,1,One Year,0,8.5,0
CUST1003,32,39,45.68,4,Month-to-Month,1,10.0,0
CUST1004,60,57,48.49,3,Month-to-Month,1,3.4,1
CUST1005,25,17,50.73,6,Month-to-Month,1,7.5,1
CUST1006,38,44,100.3,1,One Year,1,6.0,0
CUST1007,56,25,73.92,2,Month-to-Month,1,2.9,0
CUST1008,36,17,51.13,1,One Year,1,7.0,0
CUST1009,40,13,81.03,2,One Year,0,7.7,0
CUST1010,28,25,91.62,3,Month-to-Month,0,4.8,1
CUST1011,28,68,47.26,3,Month-to-Month,1,8.3,0
CUST1012,41,10,61.35,0,Month-to-Month,1,2.7,0
CUST1013,53,67,32.19,1,Two Year,1,3.0,0
CUST1014,57,18,38.11,1,One Year,1,6.3,0
CUST1015,41,34,88.11,4,Month-to-Month,1,6.1,1
CUST1016,20,8,38.14,1,Month-to-Month,0,4.6,0
CUST1017,39,40,72.52,4,One Year,1,7.6,0
CUST1018,19,42,90.9,0,Two Year,1,7.1,0
CUST1019,41,41,30.69,3,Two Year,1,7.7,0
CUST1020,61,6,76.73,1,One Year,1,5.8,0
CUST1021,47,52,45.66,2,Month-to-Month,0,7.2,0
CUST1022,55,26,116.29,4,Month-to-Month,1,5.1,1
CUST1023,19,64,68.35,2,Month-to-Month,1,10.0,0
CUST1024,38,59,100.6,1,Month-to-Month,0,4.4,0
CUST1025,50,56,75.02,1,Month-to-Month,1,10.0,0
CUST1026,29,59,24.34,2,Month-to-Month,1,6.1,0
CUST1027,39,70,83.32,1,Month-to-Month,1,3.2,0
CUST1028,61,33,115.14,2,Two Year,1,8.7,0
CUST1029,42,53,80.16,1,One Year,0,6.3,0
CUST1030,66,22,101.92,2,Two Year,1,7.7,0
CUST1031,44,21,108.42,0,One Year,1,8.4,0
CUST1032,59,70,42.81,1,Month-to-Month,1,6.7,1
CUST1033,45,70,41.2,4,One Year,0,4.8,0
CUST1034,33,4,81.1,3,Month-to-Month,1,8.0,0
CUST1035,32,62,61.1,2,One Year,1,6.0,0
CUST1036,64,62,103.99,2,Month-to-Month,1,7.4,0
CUST1037,68,24,110.0,1,Two Year,1,1.7,0
CUST1038,61,55,55.34,5,Month-to-Month,0,6.9,0
CUST1039,69,9,43.69,0,Month-to-Month,1,4.7,0
CUST1040,20,3,98.05,2,Two Year,0,9.3,0
CUST1041,54,31,47.48,3,Month-to-Month,1,7.2,0
CUST1042,68,40,102.26,1,One Year,1,6.5,0
CUST1043,24,36,62.37,2,One Year,1,7.0,0
CUST1044,38,24,86.75,4,Two Year,1,4.0,1
CUST1045,26,6,29.55,3,Two Year,1,9.2,0
CUST1046,56,66,82.39,2,Two Year,1,10.0,0
CUST1047,35,4,65.18,1,Month-to-Month,0,6.8,0
CUST1048,21,6,78.66,3,Two Year,0,9.2,0
CUST1049,42,51,36.8,2,One Year,1,4.9,0
CUST1050,31,62,93.69,1,One Year,0,4.4,0
CUST1051,67,57,106.28,0,Month-to-Month,1,6.1,0
CUST1052,26,66,41.67,0,One Year,1,6.9,0
CUST1053,43,8,29.57,2,Two Year,1,5.2,0
CUST1054,19,26,22.36,0,Two Year,1,7.1,0
CUST1055,37,51,84.2,1,Month-to-Month,1,6.6,1
CUST1056,45,45,80.71,0,Month-to-Month,1,4.0,1
CUST1057,64,44,74.67,0,Month-to-Month,1,7.0,0
CUST1058,24,5,43.19,2,Two Year,1,7.7,0
CUST1059,61,70,59.09,2,One Year,0,6.3,0
CUST1060,25,26,79.45,4,Month-to-Month,1,8.3,0
CUST1061,64,68,69.68,4,Month-to-Month,1,3.6,1
CUST1062,52,19,118.78,0,Month-to-Month,1,6.9,0
CUST1063,31,20,33.64,2,Month-to-Month,0,3.7,0
CUST1064,34,12,89.51,1,Two Year,0,3.8,0
CUST1065,53,47,60.43,2,One Year,1,4.7,0
CUST1066,67,1,62.82,1,Month-to-Month,1,4.1,1
CUST1067,57,14,91.76,0,One Year,1,4.9,0
CUST1068,21,64,89.24,4,Month-to-Month,1,5.6,1
CUST1069,19,38,119.13,4,Two Year,1,7.7,0
CUST1070,23,37,32.84,1,Month-to-Month,1,5.4,0
CUST1071,59,11,30.41,1,Month-to-Month,1,2.8,0
CUST1072,21,3,92.43,3,Month-to-Month,0,8.3,0
CUST1073,46,33,77.84,6,One Year,1,4.3,0
CUST1074,35,6,47.42,1,One Year,1,5.9,0
CUST1075,43,50,27.94,1,One Year,1,6.9,0
CUST1076,61,10,28.57,3,Month-to-Month,1,6.4,0
CUST1077,51,5,109.42,3,Month-to-Month,1,8.2,0
CUST1078,27,23,39.19,1,Month-to-Month,1,7.0,1
CUST1079,53,10,52.34,2,One Year,1,4.3,0
CUST1080,31,44,42.67,2,Month-to-Month,1,10.0,0
CUST1081,48,2,55.5,1,One Year,0,6.4,0
CUST1082,65,13,26.94,2,Two Year,0,5.7,0
CUST1083,32,40,71.91,2,Two Year,1,7.9,0
CUST1084,25,2,26.76,2,Month-to-Month,1,6.5,0
CUST1085,31,65,100.04,2,Month-to-Month,1,6.8,1
CUST1086,40,63,43.37,2,Month-to-Month,1,10.0,1
CUST1087,57,17,74.0,1,One Year,1,5.4,0
CUST1088,38,9,108.01,1,Two Year,1,5.4,0
CUST1089,33,15,85.09,5,Month-to-Month,0,6.2,1
CUST1090,62,24,73.3,3,Month-to-Month,0,8.1,0
CUST1091,35,38,52.43,3,Two Year,1,3.0,0
CUST1092,64,35,53.3,1,Two Year,0,2.1,0
CUST1093,41,49,86.95,2,Month-to-Month,1,4.8,1
CUST1094,43,69,119.41,7,One Year,1,2.7,1
CUST1095,42,62,86.18,2,Month-to-Month,1,5.2,1
CUST1096,62,60,75.78,2,Month-to-Month,0,7.0,1
CUST1097,58,50,93.07,3,Two Year,1,4.2,0
CUST1098,46,9,66.52,0,Two Year,1,3.1,0
CUST1099,32,34,26.01,2,One Year,1,6.1,0
CUST1100,62,35,76.23,2,Month-to-Month,1,7.7,0
CUST1101,18,1,115.76,2,Two Year,0,2.6,0
CUST1102,42,40,37.53,1,Month-to-Month,1,7.6,0
CUST1103,24,64,89.0,2,Month-to-Month,1,7.6,1
CUST1104,26,22,40.09,1,One Year,1,7.9,0
CUST1105,41,60,73.58,2,Month-to-Month,1,8.4,0
CUST1106,18,64,29.67,2,One Year,1,10.0,0
CUST1107,61,11,65.04,5,One Year,0,5.3,0
CUST1108,25,14,95.62,2,Month-to-Month,1,6.2,0
CUST1109,41,60,54.76,2,Month-to-Month,1,5.2,0
CUST1110,28,30,86.49,1,Month-to-Month,1,6.0,0
CUST1111,68,35,99.54,1,Month-to-Month,1,9.1,0
CUST1112,34,37,112.72,0,One Year,1,3.3,0
CUST1113,25,5,43.46,0,Two Year,1,4.3,0
CUST1114,52,26,59.93,2,Month-to-Month,0,8.8,0
CUST1115,52,62,35.24,4,Month-to-Month,1,8.0,0
CUST1116,50,4,119.25,2,One Year,1,5.3,0
CUST1117,22,42,112.7,5,Two Year,1,7.7,0
CUST1118,59,18,74.0,1,Month-to-Month,1,6.7,0
CUST1119,56,40,104.2,1,Month-to-Month,1,9.0,0
